No.,NRRL # or orig ident,Location,Region,GPS,Host/Substrate,Fungicide,Date Collected,Notes,Mating Type,Date of ITS confirmation,Date of DNA Extraction,Sterile Water Tube Date,Glycerol Tubes Date,Race Tubes Date
SM001,NRRL 1483,Blakeslee,,,Seed,,6/1/1940,,,,,3/3/2016,,4/11/2016 & 4/18/2016
SM002,NRRL 1481,Blakeslee,,,Fruit,,6/1/1940,,UNKNOWN,,,3/3/2016,,4/18/2016
SM003,NRRL 1482,Blakeslee,,,Seed,,6/1/1940,,,,,3/3/2016,,
SM004,NRRL 1480,Blakeslee,,,Fruit,,6/1/1940,,UNKNOWN,,,3/3/2016,,
SM005,NRRL 2233,"Amsterdam, Holland",Europe,"52.3702157,4.895167899999933",Hibisicus Flower,,6/1/1948,,,,,3/3/2016,,
SM006,NRRL 1484,Blakeslee,,,Fruit,,6/1/1940,,,,,3/3/2016,,
SM007,NRRL 1479,Blakeslee,,,Seed,,6/1/1940,,,,,3/3/2016,,4/11/2016 & 4/11/2016
SM008,NRRL 1259,Parke Davis,,,,,10/1/1940,,,,,3/3/2016,,4/11/2016
SM009,NRRL 54333,Arizona,Arizona,"34.0489281,-111.09373110000001",Kangaroo Rat Cheek Pouch,,6/1/1979,,minus,,,3/3/2016,,
SM010,,Unknown,,,,Unknown,1997,This is known - strain,,,,4/11/2016,,
SM011,,"Matt Smith's Yard, Gainesville, FL",Florida,"29.6516344,-82.32482619999996",Compost,None,3/12/2016,,UNKNOWN,,,4/11/2016,,
SM012,1497,,,,,,,,,,,4/11/2016,,4/13/2016
SM013,,Florida Strawberry bought in Gainesville,Florida,"29.6516344,-82.32482619999996",Strawberry,Unknown,1997,,plus,,,4/11/2016,,4/13/2016
SM014,D151,"San Bernardino, Highway 18 near Big Bear, 1 mile E of Onyx Summit",SoCal,"34.1922309,-116.71891119999998",pack rat dung miden below Juniper,None,4/1/1988,,UNKNOWN?,,,4/11/2016,,
SM015,1478,,,,,,,,,,,4/11/2016,,4/13/2016
SM016,,Air Contaminant in UF Fungal lab,Florida,"29.6516344,-82.32482619999996",Unknown,Unknown,1997,,UNKNOWN,,,4/11/2016,,4/13/2016
