# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_truncation	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_premature_start_codon_gain_variant	variants_effect_5_prime_UTR_truncation	variants_effect_5_prime_UTR_variant	variants_effect_conservative_inframe_deletion	variants_effect_conservative_inframe_insertion	variants_effect_disruptive_inframe_deletion	variants_effect_disruptive_inframe_insertion	variants_effect_downstream_gene_variant	variants_effect_exon_loss_variant	variants_effect_frameshift_variant	variants_effect_initiator_codon_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_canonical_start_codon	variants_effect_non_coding_transcript_variant	variants_effect_splice_acceptor_variant	variants_effect_splice_donor_variant	variants_effect_splice_region_variant	variants_effect_start_lost	variants_effect_stop_gained	variants_effect_stop_lost	variants_effect_stop_retained_variant	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
jgi.p|Rhisto1|100235	gene_8107	mRNA_8107	protein_coding	2	1	2	101	0	0	0	0	4	0	0	0	0	36	0	2	0	1	2	0	0	0	0	0	0	0	0	0	1	60
jgi.p|Rhisto1|100552	gene_8117	mRNA_8117	protein_coding	0	2	1	152	0	2	1	0	6	0	0	0	0	59	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	85
jgi.p|Rhisto1|100666	gene_8124	mRNA_8124	protein_coding	1	2	3	178	0	0	0	0	2	1	0	1	1	65	0	1	0	8	0	0	0	0	0	0	0	0	1	0	2	103
jgi.p|Rhisto1|100702	gene_8127	mRNA_8127	protein_coding	1	4	1	159	0	0	0	0	0	0	0	0	0	72	0	1	0	2	1	0	0	0	0	0	0	0	0	0	4	85
jgi.p|Rhisto1|101019	gene_8137	mRNA_8137	protein_coding	5	0	3	181	0	0	0	0	0	0	2	1	0	79	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	102
jgi.p|Rhisto1|101036	gene_8139	mRNA_8139	protein_coding	2	2	3	190	0	1	0	0	2	0	0	2	0	94	0	2	0	0	1	0	0	0	0	0	0	0	0	0	2	93
jgi.p|Rhisto1|10155	gene_314	mRNA_314	protein_coding	0	5	2	113	0	0	0	0	4	0	0	0	0	67	0	0	0	5	2	0	0	0	0	4	0	0	0	0	1	41
jgi.p|Rhisto1|101569	gene_8152	mRNA_8152	protein_coding	1	1	0	107	0	0	0	0	1	0	0	0	0	62	0	1	0	3	0	0	0	0	0	0	1	0	0	0	1	41
jgi.p|Rhisto1|102568	gene_8196	mRNA_8196	protein_coding	0	3	1	69	0	0	0	0	0	0	0	0	0	32	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	37
jgi.p|Rhisto1|102659	gene_8199	mRNA_8199	protein_coding	2	1	0	68	0	0	0	0	0	0	0	0	0	31	0	1	0	6	0	0	0	1	0	0	1	0	0	0	1	32
jgi.p|Rhisto1|102930	gene_8206	mRNA_8206	protein_coding	0	1	0	105	0	2	0	0	3	0	0	0	0	44	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	55
jgi.p|Rhisto1|102977	gene_8208	mRNA_8208	protein_coding	0	6	1	103	0	0	0	0	2	0	0	0	0	36	0	0	0	8	1	0	0	0	0	3	0	0	0	0	3	60
jgi.p|Rhisto1|105635	gene_8247	mRNA_8247	protein_coding	0	3	2	67	0	3	0	0	1	1	0	0	0	31	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	32
jgi.p|Rhisto1|105693	gene_8252	mRNA_8252	protein_coding	0	0	0	99	0	0	0	0	4	0	0	0	0	57	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	32
jgi.p|Rhisto1|106067	gene_8258	mRNA_8258	protein_coding	0	0	1	80	0	3	0	0	0	0	0	0	0	45	0	0	0	5	1	0	0	0	0	0	0	0	0	0	0	27
jgi.p|Rhisto1|106071	gene_8257	mRNA_8257	protein_coding	0	1	0	85	0	3	0	0	0	0	0	0	0	28	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1	51
jgi.p|Rhisto1|106436	gene_8265	mRNA_8265	protein_coding	0	4	1	74	0	0	0	0	0	0	0	0	0	37	0	0	0	13	1	0	0	0	0	3	0	0	0	0	1	27
jgi.p|Rhisto1|106482	gene_8264	mRNA_8264	protein_coding	0	1	1	73	0	0	0	0	0	0	0	0	0	37	0	0	0	4	1	0	0	0	0	1	0	0	0	0	0	33
jgi.p|Rhisto1|107119	gene_8272	mRNA_8272	protein_coding	0	4	4	117	0	0	0	0	2	0	0	0	0	56	0	0	0	0	4	0	0	0	0	0	0	0	0	0	4	59
jgi.p|Rhisto1|107553	gene_8289	mRNA_8289	protein_coding	0	1	3	66	0	5	0	0	3	1	0	0	0	31	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	27
jgi.p|Rhisto1|109314	gene_9025	mRNA_9025	protein_coding	0	4	2	62	0	1	0	0	0	0	0	0	0	49	0	0	0	9	2	0	0	0	0	3	0	0	0	0	1	6
jgi.p|Rhisto1|109867	gene_9042	mRNA_9042	protein_coding	0	1	0	120	0	4	0	0	1	0	0	0	0	65	0	0	0	3	0	0	0	0	0	1	0	0	0	0	0	48
jgi.p|Rhisto1|110015	gene_9047	mRNA_9047	protein_coding	1	1	4	66	0	0	0	0	0	0	0	0	0	35	0	0	0	0	4	0	0	0	0	0	0	1	0	0	1	31
jgi.p|Rhisto1|110527	gene_9063	mRNA_9063	protein_coding	3	4	2	114	0	0	0	0	0	0	1	0	0	15	0	2	0	1	2	0	0	0	0	0	3	0	0	0	4	98
jgi.p|Rhisto1|110748	gene_9072	mRNA_9072	protein_coding	4	0	1	109	0	0	0	0	0	0	0	0	0	29	0	1	0	5	1	0	0	0	3	0	0	0	0	0	0	78
jgi.p|Rhisto1|111026	gene_9095	mRNA_9095	protein_coding	4	0	4	115	0	2	0	0	2	0	0	0	3	48	0	4	0	3	1	0	0	0	0	0	0	0	0	0	0	60
jgi.p|Rhisto1|112575	gene_9146	mRNA_9146	protein_coding	0	0	3	121	0	0	0	0	3	0	0	0	0	44	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	74
jgi.p|Rhisto1|112842	gene_9153	mRNA_9153	protein_coding	0	1	11	143	0	7	0	0	1	2	0	2	2	76	0	0	0	5	5	0	0	0	0	1	0	0	0	0	0	54
jgi.p|Rhisto1|112871	gene_9157	mRNA_9157	protein_coding	4	0	1	190	0	0	0	0	0	0	0	0	0	99	0	4	0	1	1	0	0	0	0	0	0	0	0	0	0	90
jgi.p|Rhisto1|113115	gene_9160	mRNA_9160	protein_coding	0	5	1	146	0	0	0	0	3	0	0	0	0	53	0	0	0	11	1	0	0	0	0	2	0	0	0	0	3	81
jgi.p|Rhisto1|113195	gene_9168	mRNA_9168	protein_coding	2	0	4	93	0	1	0	0	4	1	0	1	0	41	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	47
jgi.p|Rhisto1|114295	gene_9193	mRNA_9193	protein_coding	0	0	3	78	0	0	0	0	0	0	0	0	0	28	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	50
jgi.p|Rhisto1|114485	gene_9201	mRNA_9201	protein_coding	2	9	12	127	0	1	0	0	4	0	0	1	0	63	0	1	0	6	11	0	0	0	1	3	0	0	0	0	7	56
jgi.p|Rhisto1|115389	gene_9264	mRNA_9264	protein_coding	0	0	1	42	0	2	0	0	2	0	0	0	0	20	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	17
jgi.p|Rhisto1|115510	gene_9269	mRNA_9269	protein_coding	0	3	0	98	0	2	1	0	6	0	0	0	0	38	0	0	0	4	0	0	0	0	0	1	0	0	0	0	1	49
jgi.p|Rhisto1|115788	gene_9279	mRNA_9279	protein_coding	0	6	2	124	0	0	0	0	0	0	0	0	0	63	0	0	0	16	2	0	0	0	0	4	0	0	0	0	2	49
jgi.p|Rhisto1|116035	gene_9283	mRNA_9283	protein_coding	0	1	0	92	0	0	0	0	6	0	0	0	0	33	0	0	0	4	0	0	0	0	0	0	0	0	0	0	1	49
jgi.p|Rhisto1|116516	gene_9299	mRNA_9299	protein_coding	0	0	0	99	0	0	0	0	0	0	0	0	0	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56
jgi.p|Rhisto1|116721	gene_9306	mRNA_9306	protein_coding	0	2	7	75	0	3	0	0	0	0	0	0	0	34	0	0	0	0	7	0	0	0	0	0	0	0	0	0	2	38
jgi.p|Rhisto1|116882	gene_9312	mRNA_9312	protein_coding	0	1	0	68	0	0	0	0	1	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	30
jgi.p|Rhisto1|116913	gene_9316	mRNA_9316	protein_coding	0	0	0	111	0	1	0	0	0	0	0	0	0	81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29
jgi.p|Rhisto1|119005	gene_9363	mRNA_9363	protein_coding	0	1	3	128	0	0	0	0	3	0	0	0	0	48	0	0	0	7	3	0	0	0	0	0	0	0	0	0	1	70
jgi.p|Rhisto1|119278	gene_9376	mRNA_9376	protein_coding	0	0	0	77	0	0	0	0	2	0	0	0	0	56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19
jgi.p|Rhisto1|119453	gene_9383	mRNA_9383	protein_coding	0	2	1	86	0	1	0	0	1	0	0	0	0	25	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	59
jgi.p|Rhisto1|120203	gene_9411	mRNA_9411	protein_coding	0	1	0	114	0	0	0	0	2	0	0	0	0	32	0	0	0	5	0	0	0	0	0	1	0	0	0	0	0	76
jgi.p|Rhisto1|120218	gene_9412	mRNA_9412	protein_coding	0	2	2	121	0	0	0	0	0	0	0	0	0	69	0	0	0	3	2	0	0	0	0	0	0	0	0	0	2	49
jgi.p|Rhisto1|120452	gene_9420	mRNA_9420	protein_coding	0	0	3	93	0	0	0	0	2	0	0	0	0	55	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	36
jgi.p|Rhisto1|120670	gene_9431	mRNA_9431	protein_coding	0	1	0	50	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	38
jgi.p|Rhisto1|120973	gene_9453	mRNA_9453	protein_coding	1	0	2	118	0	9	0	0	0	0	0	0	0	28	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	81
jgi.p|Rhisto1|121802	gene_9469	mRNA_9469	protein_coding	0	0	2	86	0	1	0	0	3	0	0	0	0	34	0	0	0	4	2	0	0	0	0	0	0	0	0	0	0	44
jgi.p|Rhisto1|122544	gene_9500	mRNA_9500	protein_coding	0	0	2	51	0	0	0	0	2	0	0	0	0	32	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	17
jgi.p|Rhisto1|123390	gene_9515	mRNA_9515	protein_coding	0	2	2	70	0	2	0	0	0	0	0	0	0	30	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	38
jgi.p|Rhisto1|123543	gene_9518	mRNA_9518	protein_coding	2	0	1	71	0	0	0	0	1	0	0	0	0	37	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	33
jgi.p|Rhisto1|123710	gene_9528	mRNA_9528	protein_coding	0	1	0	49	0	0	0	0	1	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	23
jgi.p|Rhisto1|123711	gene_9529	mRNA_9529	protein_coding	0	0	1	49	0	1	0	0	1	0	0	0	0	23	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	24
jgi.p|Rhisto1|123794	gene_9532	mRNA_9532	protein_coding	0	1	3	77	0	0	0	0	1	1	0	1	0	24	0	0	0	3	1	0	0	0	0	0	0	0	0	0	1	49
jgi.p|Rhisto1|123833	gene_9531	mRNA_9531	protein_coding	2	1	2	69	0	0	0	0	1	0	0	0	0	42	0	2	0	10	2	0	0	0	0	1	0	0	0	0	0	17
jgi.p|Rhisto1|125166	gene_9579	mRNA_9579	protein_coding	1	2	0	152	0	0	0	0	0	0	0	0	0	92	0	0	0	6	0	0	0	1	0	2	0	0	0	0	0	57
jgi.p|Rhisto1|125213	gene_9581	mRNA_9581	protein_coding	0	3	0	132	0	5	0	0	3	0	0	0	0	52	0	0	0	0	0	0	1	0	0	1	0	0	0	0	2	71
jgi.p|Rhisto1|125672	gene_9599	mRNA_9599	protein_coding	0	1	2	76	0	0	0	0	1	0	0	0	0	42	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	33
jgi.p|Rhisto1|125727	gene_9601	mRNA_9601	protein_coding	0	6	0	92	0	1	0	0	0	0	0	0	0	59	0	0	0	3	0	0	0	0	0	0	0	0	0	0	6	29
